년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
13-Feb,서울경기,-1.6,-5.7,2.6
13-Mar,서울경기,4.3,-0.4,9.8
13-Apr,서울경기,9.3,4.8,14.2
13-May,서울경기,16.8,12.2,22.1
13-Jun,서울경기,23,19,27.7
13-Jul,서울경기,24.8,22.7,27.7
13-Aug,서울경기,27,23.9,30.8
13-Sep,서울경기,21.3,17.5,25.7
13-Oct,서울경기,15.4,10.5,20.8
13-Nov,서울경기,6.1,1.7,10.7
13-Dec,서울경기,-0.3,-4.1,3.7
14-Jan,서울경기,-0.8,-5.4,3.5
14-Feb,서울경기,1.4,-2.5,6.1
14-Mar,서울경기,7.2,2.6,12.4
14-Apr,서울경기,12.8,8.2,18.4
14-May,서울경기,17.6,12.7,23.6
14-Jun,서울경기,22.3,18.9,26.8
14-Jul,서울경기,25.2,22,29.6
14-Aug,서울경기,24.6,21.5,28.4
14-Sep,서울경기,21.6,17.4,26.4
14-Oct,서울경기,15.2,10.3,20.8
14-Nov,서울경기,8.6,4.2,13.3
14-Dec,서울경기,-2.6,-6.6,1.7
15-Jan,서울경기,-1.1,-5,3.3
15-Feb,서울경기,0.9,-3.1,5.6
15-Mar,서울경기,5.6,0.2,11.4
15-Apr,서울경기,12.7,7.8,18
15-May,서울경기,17.6,12.4,23.4
15-Jun,서울경기,22.4,18,27.8
15-Jul,서울경기,25,21.8,29.1
15-Aug,서울경기,25.8,22.4,30.2
15-Sep,서울경기,21.9,17.1,27.3
15-Oct,서울경기,15.3,10.5,20.7
15-Nov,서울경기,9,5.8,12.6
15-Dec,서울경기,1.8,-2.1,6.2
16-Jan,서울경기,-2.8,-6.7,1.4
16-Feb,서울경기,0.4,-4.2,5.1
16-Mar,서울경기,6.5,1.8,11.9
16-Apr,서울경기,13.2,8.3,19.4
16-May,서울경기,18.6,13.5,24.5
16-Jun,서울경기,22.5,18.6,27.3
16-Jul,서울경기,25.5,22.6,29.1
16-Aug,서울경기,27.4,23.9,31.8
16-Sep,서울경기,22.5,18.7,27.2
16-Oct,서울경기,15.7,11.2,20.7
16-Nov,서울경기,6.9,2.6,11.5
16-Dec,서울경기,1.5,-2.6,6
17-Jan,서울경기,-1.6,-5.9,3.1
17-Feb,서울경기,-0.2,-4.7,4.6
17-Mar,서울경기,5.7,0.9,11.5
17-Apr,서울경기,12.9,8.1,18.5
17-May,서울경기,18.1,13.1,23.9
17-Jun,서울경기,22.1,17.8,27.3
17-Jul,서울경기,26.1,23.6,29.6
17-Aug,서울경기,25.3,22.3,29.1
17-Sep,서울경기,21.4,16.8,26.4
17-Oct,서울경기,15.5,10.7,21.1
17-Nov,서울경기,5.5,0.8,10.5
17-Dec,서울경기,-1.8,-6,2.4
18-Jan,서울경기,-4.1,-7.8,0.1
18-Feb,서울경기,-1.9,-6.6,3.1
18-Mar,서울경기,7.3,2.9,12.6
18-Apr,서울경기,12.1,7.3,17.6
18-May,서울경기,17.3,12.7,22.4
18-Jun,서울경기,21.9,17.8,27
18-Jul,서울경기,26.9,23.3,31.1
18-Aug,서울경기,28,24.5,32.4
18-Sep,서울경기,21.1,17,25.5
18-Oct,서울경기,12.9,8.2,18.3
18-Nov,서울경기,7.7,3.3,13
18-Dec,서울경기,-0.6,-4.9,4.1
19-Jan,서울경기,-1.1,-5.7,4
19-Feb,서울경기,0.7,-3.9,5.7
19-Mar,서울경기,6.4,1.7,11.9
19-Apr,서울경기,11.5,6.4,17
19-May,서울경기,18.1,12.5,24.2
19-Jun,서울경기,21.6,17.5,26.5
19-Jul,서울경기,25.3,22.1,29.2
19-Aug,서울경기,26.7,23.1,30.9
19-Sep,서울경기,22.2,18.5,26.5
19-Oct,서울경기,15.6,10.7,21.3
19-Nov,서울경기,7.1,2,12.9
19-Dec,서울경기,1.1,-3.2,5.4
20-Jan,서울경기,1.3,-2.6,5.9
20-Feb,서울경기,2.2,-2.2,7.1
20-Mar,서울경기,7.2,1.5,13.1
20-Apr,서울경기,10.6,5,16.4
20-May,서울경기,17.3,12.8,22.6
20-Jun,서울경기,22.8,18.6,27.9
20-Jul,서울경기,23.4,20.2,27.3
20-Aug,서울경기,26,23.7,29.3
20-Sep,서울경기,20.6,17,25.2
20-Oct,서울경기,13.5,8.2,19.4
20-Nov,서울경기,7.5,2.8,12.6
20-Dec,서울경기,-0.8,-5.1,4
21-Jan,서울경기,-2.8,-7.8,2.2
21-Feb,서울경기,2.1,-3.2,7.7
21-Mar,서울경기,8.1,2.9,14.1
21-Apr,서울경기,13.4,8,19
21-May,서울경기,16.3,11.7,21.5
21-Jun,서울경기,22,17.9,26.9
21-Jul,서울경기,27,23.3,31.5
21-Aug,서울경기,25.1,21.9,29.3
21-Sep,서울경기,21.9,18,26.6
21-Oct,서울경기,15,10.6,20.3
21-Nov,서울경기,,,
